anchor,positive,notes
Let my people go,freedom from coercion,negative liberty anchor
Slavery in Egypt,denial of liberty,bondage as constraint
Crossing the sea,escape from tyranny,departure as emancipation
Receiving the law,self-rule through obligation,positive liberty anchor
Covenant at the mountain,consent to governance,law as collective commitment
Wandering in the wilderness,formation through trial,freedom as education
The golden calf,coercive collectivism,false collective will
The Sabbath command,divine moral order,freedom bounded by sacred law
Burning bush,revelation and destiny,calling as agency
Pharaoh hardens his heart,unaccountable authority,power resisting moral demand
The people become a nation,collective identity,liberty as shared political form
Promise of the land,realization of destiny,freedom as future-oriented purpose
